objectid,description,date,creator,title,language,location,citation,subject,Automatic Tags,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0001,Journal Article,2012,"Carneiro, Celso Dal Re; Toniolo, Joao Claudio",A Terra ‘quente’ na imprensa: confiabilidade de notícias sobre aquecimento global,pt,Brasil,"Dal Ré Carneiro, Celso; Toniolo, João Cláudio  A Terra ‘quente’ na imprensa: confiabilidade de notícias sobre aquecimento global  História, Ciências, Saúde - Manguinhos, vol. 19, núm. 2, abril-junio, 2012, pp. 369-389",aquecimento global; mídia; controvérsias; geociências; Brasil.,,,"História, Ciências, Saúde-Manguinhos",,0104-5970,10.1590/S0104-59702012000200002,,369-389,2,19,,,,,,WOS:000307228900002,,/Users/juliabelden/Zotero/storage/NLP7HWLF/Carneiro and Toniolo - 2012 - A Terra 'quente' na imprensa confiabilidade de notícias sobre aquecimento global.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0002,Journal Article,2009,"Petroski, E. L.; Silva, D. A. S.; Reis, R. S.; Pelegrini, A.",Estágios de mudança de comportamento e percepção positiva do ambiente para atividade física em usuários de parque urbano,pt,Portugal,"Petroski, E.L.; Silva, D.A.S.; Reis, R.S.; Pelegrini, A. Estágios de mudança de comportamento e percepção positiva do ambiente para atividade física em usuários de parque urbano Motricidade, vol. 5, núm. 2, 2009, pp. 17-31","atividade motora, parques nacionais, atividades de lazer, comportamento",,,Motricidade,,1646-107X,,,17-31,2,5,,,,,,CABI:20113106864,,,,,,,,,,,,,,,,,,,,,,,,,,
db0003,Journal Article,2023,"Bezerra Tabosa, David Herculano; Oliveto, Fernanda Alessio; Anastacio de Paula, Claudio Paixao; Oliveira Araujo, Eliane Pawlowski",Marketing Institucional em Conservação da Biodiversidade: Análise Simbólica da Divulgação Científica do ICMBio,pt,Brasil,,Instagram; perfiles arquetípicos; comunicación institucional,,,Biodiversidade Brasileira,,2236-2886,,,1-24,4,13,,,,,,ZOOREC:ZOOR16005036940,,,,,,,,,,,,,,,,,,,,,,,,,,
db0004,Journal Article,2010,"Amarante, Maria Inês",Flora Tristan: jornalismo militante em tempo de revoltas,pt,Brasil,,"Flora Tristan, feminismo, imprensa, Revolução Industrial",,,Revista Katálysis,,1982-0259,,,110-118,1,13,,,,,,SCIELO:S1414-49802010000100013,,,,,,,,,,,,,,,,,,,,,,,,,,
db0005,Journal Article,2008,"Machado, Carlos Alberto",Filmes de ficção científica como mediadores de conceitos relativos ao meio ambiente,pt,Brasil,,Ficção científica; Meio ambiente; Ensino de Ciências,,,Ciência & Educação (Bauru),,1980-850X,10.1590/S1516-73132008000200007,,283-294,2,14,,,,,,SCIELO:S1516-73132008000200007,,,,,,,,,,,,,,,,,,,,,,,,,,
db0006,Journal Article,1987,"Silva, C. R. L. da",O impacto da politica comercial brasileira na agricultura,pt,Brasil,"Silva,C. R. L. da, 19881858877, Portuguese, Journal article, (No. 6), Relatório de Pesquisa, Instituto de Economia Agrícola, Secretaría de Agricultura e Abastecimento, Governo do Estado de São Paulo, The impact of Brazilian marketing policy on agriculture., (1987)",,,,"Relatorio de Pesquisa, Instituto de Economia Agricola, Secretaria de Agricultura e Abastecimento, Governo do Estado de Sao Paulo",,,,,,No. 6,,,,,,,CABI:19881858877,,,,,,,,,,,,,,,,,,,,,,,,,,
db0007,Journal Article,2011,"Graham, Laura R.",Citando Mario Juruna: imaginário linguístico e a transformação da voz indígena na imprensa brasileira,pt,USA,,Política linguística; Discriminação linguística; Política de representação; Prática de textualização; Mídia impressa; Indianidade,,,MANA-ESTUDOS DE ANTROPOLOGIA SOCIAL,,0104-9313,10.1590/S0104-93132011000200002,,271-312,2,17,,,,,,WOS:000299289600002,,,,,,,,,,,,,,,,,,,,,,,,,,
db0008,Journal Article,2017,"Santos, Joana Ribeiro dos; Rosa, Rebeca Silva Brandão; Alves, Nilda",Movimentos Sociais: clichês e redes educativas no filme Queimada!,pt,Brasil,,Movimentos Sociais; Clichês; Cinema; Redes Educativas; Cotidianos,,,Educação & Realidade,,2175-6236,10.1590/2175-623664359,,533-554,2,42,,,,,,SCIELO:S2175-62362017000200533,,,,,,,,,,,,,,,,,,,,,,,,,,
db0009,Journal Article,2023,"Alves, Rafael Vitória; Pereira, Hélcius Batista; Franco, Neil","Percepção ambiental sobre as mudanças climáticas globais numa praça pública na cidade do Rio de Janeiro (RJ, Brasil)",pt,Brasil,,"Tradições Discursivas; Gênero do Discurso, Infográfico; Jornalismo Impresso.",Gênero do Discurso; Infográfico; Jornalismo Impresso; Tradições Discursivas,,DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,,1678-460X,10.1590/1678-460x202339456633,,202339456633-202339456633,4,39,,,,,,SCIELO:S0102-44502023000400409,,/Users/juliabelden/Zotero/storage/X5IV34HF/Alves et al. - 2023 - Traços da história do gênero discursivo infográfico no jornalismo impresso do Sul e Sudeste brasilei.pdf; /Users/juliabelden/Zotero/storage/69VP28ZL/Alves et al. - 2023 - .pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0010,Journal Article,2022,"Miguel, Luis Felipe",O jornalismo no novo ambiente comunicacional: uma reavaliação da noção do “jornalismo como sistema perito”,pt,Brasil,"Miguel, L. F. (2022). O jornalismo no novo ambiente comunicacional: uma reavaliação da noção do “jornalismo como sistema perito”. Tempo Social, 34(2), 195-216. https://doi.org/10.11606/0103-2070.ts.2022.195368"," Jornalismo, Sistema perito, Pós-verdade, Crise da democracia",,"O artigo revê, à luz das transformações contemporâneas no ambiente comunicacional, a noção de que o jornalismo opera como “sistema perito” – um sistema de expertise que  desfruta da confiança nele depositada por usuários incapazes de avaliá-lo tecnicamente. As novas tecnologias ampliaram a concorrência no espaço discursivo, dissolvendo o monopólio do jornalismo e erodindo suas fontes de financiamento. Ao mesmo tempo, uma incerteza epistêmica radical (“pós-verdade”) e o insulamento do público em enclaves fechados comprometem sua legitimidade. Esta situação contribui para a crise da democracia, uma vez que seu funcionamento pressupunha um patamar mínimo de concordância sobre a agenda e sobre os fatos relevantes, que o jornalismo supria.",TEMPO SOCIAL,,0103-2070,10.11606/0103-2070.ts.2022.195368,,195-216,2,34,,,,,,WOS:000929915300009,,,,,,,,,,,,,,,,,,,,,,,,,,
